الجنسية,المحافظة,المدينة,المنطقة,النوع,السكان
سعودي,الحرجة,آل بو هيشه,عسير,ذكر,43
غير سعودي,الحرجة,آل بو هيشه,عسير,ذكر,5
سعودي,سراة عبيدة,آل بي حبيب,عسير,أنثى,3
سعودي,ابها (مقر الإمارة),آل ثروان,عسير,أنثى,3
سعودي,ابها (مقر الإمارة),آل ثروان,عسير,ذكر,4
غير سعودي,ابها (مقر الإمارة),آل ثروان,عسير,ذكر,6
سعودي,الحرجة,آل جازعه,عسير,أنثى,23
غير سعودي,الحرجة,آل جازعه,عسير,أنثى,8
سعودي,الحرجة,آل جازعه,عسير,ذكر,21
سعودي,الحرجة,آل جحلان,عسير,أنثى,21
سعودي,الحرجة,آل جحلان,عسير,ذكر,24
غير سعودي,الحرجة,آل جحلان,عسير,ذكر,3
سعودي,الحرجة,آل جحيش,عسير,أنثى,5
سعودي,الحرجة,آل جحيش,عسير,ذكر,12
سعودي,الحرجة,آل جراد,عسير,أنثى,12
سعودي,الحرجة,آل جراد,عسير,ذكر,12
سعودي,الحرجة,آل جعدنه,عسير,أنثى,8
سعودي,الحرجة,آل جعدنه,عسير,ذكر,10
سعودي,سراة عبيدة,آل جلده,عسير,أنثى,10
سعودي,سراة عبيدة,آل جلده,عسير,ذكر,11
سعودي,الحرجة,آل جهيم,عسير,أنثى,34
سعودي,الحرجة,آل جهيم,عسير,ذكر,38
سعودي,الحرجة,آل جوير,عسير,أنثى,19
سعودي,الحرجة,آل جوير,عسير,ذكر,22
سعودي,فيفا,آل حاوى والشباب,جازان,أنثى,32
سعودي,فيفا,آل حاوى والشباب,جازان,ذكر,27
سعودي,الحرجة,آل حريز,عسير,أنثى,11
سعودي,الحرجة,آل حريز,عسير,ذكر,8
سعودي,خميس  مشيط,آل حسان,عسير,أنثى,146
غير سعودي,خميس  مشيط,آل حسان,عسير,أنثى,17
سعودي,خميس  مشيط,آل حسان,عسير,ذكر,134
غير سعودي,خميس  مشيط,آل حسان,عسير,ذكر,46
سعودي,بارق,آل حسن,عسير,أنثى,25
سعودي,بارق,آل حسن,عسير,ذكر,19
غير سعودي,بارق,آل حسن,عسير,ذكر,3
سعودي,سراة عبيدة,آل حمران,عسير,أنثى,17
سعودي,سراة عبيدة,آل حمران,عسير,ذكر,17
غير سعودي,سراة عبيدة,آل حمران,عسير,ذكر,6
سعودي,احد رفيدة,آل حمرير,عسير,أنثى,33
غير سعودي,احد رفيدة,آل حمرير,عسير,أنثى,3
سعودي,احد رفيدة,آل حمرير,عسير,ذكر,33
غير سعودي,احد رفيدة,آل حمرير,عسير,ذكر,25
سعودي,الحرجة,آل حميد,عسير,ذكر,4
سعودي,العرضيات,آل حويل,مكة المكرمة,أنثى,47
سعودي,العرضيات,آل حويل,مكة المكرمة,ذكر,30
سعودي,طريب,آل خجيم,عسير,أنثى,104
غير سعودي,طريب,آل خجيم,عسير,أنثى,3
سعودي,طريب,آل خجيم,عسير,ذكر,99
سعودي,بيشة,آل خزام,عسير,أنثى,43
غير سعودي,بيشة,آل خزام,عسير,أنثى,4
سعودي,بيشة,آل خزام,عسير,ذكر,37
غير سعودي,بيشة,آل خزام,عسير,ذكر,24
سعودي,الحرجة,آل خضيره,عسير,أنثى,73
غير سعودي,الحرجة,آل خضيره,عسير,أنثى,4
سعودي,الحرجة,آل خضيره,عسير,ذكر,65
غير سعودي,الحرجة,آل خضيره,عسير,ذكر,11
سعودي,محايل,آل خليف,عسير,أنثى,10
سعودي,محايل,آل خليف,عسير,ذكر,10
سعودي,الحرجة,آل خميس,عسير,أنثى,44
سعودي,الحرجة,آل خميس,عسير,ذكر,36
سعودي,الحرجة,آل دابش,عسير,أنثى,3
سعودي,الحرجة,آل دابش,عسير,ذكر,7
سعودي,الحرجة,آل داوود,عسير,أنثى,4
سعودي,الحرجة,آل داوود,عسير,ذكر,3
سعودي,الحرجة,آل درهم,عسير,أنثى,9
سعودي,الحرجة,آل درهم,عسير,ذكر,4
سعودي,الحرجة,آل دشان,عسير,أنثى,48
سعودي,الحرجة,آل دشان,عسير,ذكر,59
غير سعودي,الحرجة,آل دشان,عسير,ذكر,8
سعودي,الحرجة,آل دليم,عسير,أنثى,12
سعودي,الحرجة,آل دليم,عسير,ذكر,15
سعودي,احد رفيدة,آل راقع,عسير,أنثى,4
سعودي,احد رفيدة,آل راقع,عسير,ذكر,13
غير سعودي,احد رفيدة,آل راقع,عسير,ذكر,15
سعودي,الحرجة,آل ربيعى,عسير,أنثى,52
سعودي,الحرجة,آل ربيعى,عسير,ذكر,40
غير سعودي,الحرجة,آل ربيعى,عسير,ذكر,7
سعودي,سراة عبيدة,آل زليق (المصلح والعتمة),عسير,أنثى,13
سعودي,سراة عبيدة,آل زليق (المصلح والعتمة),عسير,ذكر,7
غير سعودي,سراة عبيدة,آل زليق (المصلح والعتمة),عسير,ذكر,3
سعودي,الحرجة,آل زيدان,عسير,أنثى,17
سعودي,الحرجة,آل زيدان,عسير,ذكر,5
سعودي,الحرجة,آل سفران,عسير,أنثى,113
سعودي,الحرجة,آل سفران,عسير,ذكر,112
غير سعودي,الحرجة,آل سفران,عسير,ذكر,22
سعودي,فيفا,آل سليمان جابر,جازان,أنثى,24
سعودي,فيفا,آل سليمان جابر,جازان,ذكر,20
غير سعودي,فيفا,آل سليمان جابر,جازان,ذكر,8
سعودي,الحرجة,آل سيف,عسير,أنثى,35
غير سعودي,الحرجة,آل سيف,عسير,أنثى,10
سعودي,الحرجة,آل سيف,عسير,ذكر,36
غير سعودي,الحرجة,آل سيف,عسير,ذكر,3
سعودي,الحرجة,آل شارد,عسير,أنثى,17
سعودي,الحرجة,آل شارد,عسير,ذكر,17
سعودي,الحرجة,آل شامخ,عسير,أنثى,17
سعودي,الحرجة,آل شامخ,عسير,ذكر,17
غير سعودي,الحرجة,آل شامخ,عسير,ذكر,3
سعودي,فيفا,آل شراحيل,جازان,أنثى,33
سعودي,فيفا,آل شراحيل,جازان,ذكر,31
سعودي,ابها (مقر الإمارة),آل شريح والذروه,عسير,أنثى,18
سعودي,ابها (مقر الإمارة),آل شريح والذروه,عسير,ذكر,23
سعودي,الحرجة,آل شريه (الوقيره),عسير,أنثى,18
سعودي,الحرجة,آل شريه (الوقيره),عسير,ذكر,21
غير سعودي,الحرجة,آل شريه (الوقيره),عسير,ذكر,6
سعودي,الحرجة,آل شماخ,عسير,أنثى,80
سعودي,الحرجة,آل شماخ,عسير,ذكر,77
غير سعودي,الحرجة,آل شماخ,عسير,ذكر,10
سعودي,المجاردة,آل شواف,عسير,أنثى,13
سعودي,المجاردة,آل شواف,عسير,ذكر,8
غير سعودي,المجاردة,آل شواف,عسير,ذكر,7
سعودي,الحرجة,آل صالح بن راقع,عسير,أنثى,3
سعودي,الحرجة,آل صالح بن راقع,عسير,ذكر,4
سعودي,تنومة,آل صخيف وآل جبار,عسير,أنثى,21
سعودي,تنومة,آل صخيف وآل جبار,عسير,ذكر,17
سعودي,الحرجة,آل صلام,عسير,أنثى,14
سعودي,الحرجة,آل صلام,عسير,ذكر,14
سعودي,الحرجة,آل طلحان,عسير,أنثى,15
سعودي,الحرجة,آل طلحان,عسير,ذكر,11
سعودي,الحرجة,آل عاصى,عسير,أنثى,3
سعودي,الحرجة,آل عاصى,عسير,ذكر,4
سعودي,الحرجة,آل عاطف,عسير,أنثى,8
سعودي,الحرجة,آل عاطف,عسير,ذكر,10
سعودي,الحرجة,آل عايشه (آل سعيده),عسير,أنثى,8
سعودي,الحرجة,آل عايشه (آل سعيده),عسير,ذكر,14
سعودي,ابها (مقر الإمارة),آل عباس,عسير,أنثى,36
سعودي,الحرجة,آل عباس,عسير,أنثى,27
سعودي,ابها (مقر الإمارة),آل عباس,عسير,ذكر,24
غير سعودي,ابها (مقر الإمارة),آل عباس,عسير,ذكر,15
سعودي,الحرجة,آل عباس,عسير,ذكر,30
غير سعودي,الحرجة,آل عباس,عسير,ذكر,3
سعودي,سراة عبيدة,آل عبيديه,عسير,أنثى,110
غير سعودي,سراة عبيدة,آل عبيديه,عسير,أنثى,13
سعودي,سراة عبيدة,آل عبيديه,عسير,ذكر,130
غير سعودي,سراة عبيدة,آل عبيديه,عسير,ذكر,21
سعودي,الحرجة,آل عتيق (العطفه),عسير,أنثى,33
سعودي,الحرجة,آل عتيق (العطفه),عسير,ذكر,35
غير سعودي,الحرجة,آل عتيق (العطفه),عسير,ذكر,7
سعودي,فيفا,آل عجيبه,جازان,أنثى,23
سعودي,فيفا,آل عجيبه,جازان,ذكر,19
سعودي,سراة عبيدة,آل عزبه (الفردان),عسير,ذكر,3
سعودي,الحرجة,آل عطاف,عسير,أنثى,41
سعودي,الحرجة,آل عطاف,عسير,ذكر,45
سعودي,الحرجة,آل على,عسير,أنثى,12
سعودي,الحرجة,آل على,عسير,ذكر,19
سعودي,الدائر,آل علي,جازان,أنثى,3
سعودي,الدائر,آل علي,جازان,ذكر,3
سعودي,الحرجة,آل علي بن علي (آل سوداء),عسير,أنثى,13
سعودي,الحرجة,آل علي بن علي (آل سوداء),عسير,ذكر,15
سعودي,المجاردة,آل عمار,عسير,أنثى,20
سعودي,المجاردة,آل عمار,عسير,ذكر,27
غير سعودي,المجاردة,آل عمار,عسير,ذكر,3
سعودي,بالقرن,آل عمارن,عسير,أنثى,125
غير سعودي,بالقرن,آل عمارن,عسير,أنثى,5
سعودي,بالقرن,آل عمارن,عسير,ذكر,121
غير سعودي,بالقرن,آل عمارن,عسير,ذكر,18
سعودي,المخواة,آل عياش,الباحة,أنثى,70
سعودي,المخواة,آل عياش,الباحة,ذكر,65
غير سعودي,المخواة,آل عياش,الباحة,ذكر,23
سعودي,الحرجة,آل عيفه,عسير,أنثى,35
سعودي,الحرجة,آل عيفه,عسير,ذكر,25
سعودي,ابها (مقر الإمارة),آل غازي والمقزعه,عسير,ذكر,3
سعودي,الحرجة,آل غانم,عسير,أنثى,56
سعودي,الحرجة,آل غانم,عسير,ذكر,55
غير سعودي,الحرجة,آل غانم,عسير,ذكر,24
سعودي,الحرجة,آل غراف,عسير,أنثى,15
سعودي,الحرجة,آل غراف,عسير,ذكر,11
سعودي,ابها (مقر الإمارة),آل فارح,عسير,أنثى,58
سعودي,ابها (مقر الإمارة),آل فارح,عسير,ذكر,53
غير سعودي,ابها (مقر الإمارة),آل فارح,عسير,ذكر,12
سعودي,الحرجة,آل فاضل (آل زهره),عسير,أنثى,60
سعودي,الحرجة,آل فاضل (آل زهره),عسير,ذكر,65
غير سعودي,الحرجة,آل فاضل (آل زهره),عسير,ذكر,5
سعودي,الحرجة,آل فطيس,عسير,أنثى,42
سعودي,الحرجة,آل فطيس,عسير,ذكر,31
غير سعودي,الحرجة,آل فطيس,عسير,ذكر,5
سعودي,الحرجة,آل قباص (العاند),عسير,أنثى,13
غير سعودي,الحرجة,آل قباص (العاند),عسير,أنثى,4
سعودي,الحرجة,آل قباص (العاند),عسير,ذكر,15
غير سعودي,الحرجة,آل قباص (العاند),عسير,ذكر,60
سعودي,تثليث,آل قبره والقوزيه,عسير,أنثى,62
غير سعودي,تثليث,آل قبره والقوزيه,عسير,أنثى,3
سعودي,تثليث,آل قبره والقوزيه,عسير,ذكر,97
غير سعودي,تثليث,آل قبره والقوزيه,عسير,ذكر,30
سعودي,سراة عبيدة,آل قراش,عسير,أنثى,24
سعودي,سراة عبيدة,آل قراش,عسير,ذكر,18
سعودي,وادى الدواسر,آل قرنين,الرياض,أنثى,499
غير سعودي,وادى الدواسر,آل قرنين,الرياض,أنثى,4
سعودي,وادى الدواسر,آل قرنين,الرياض,ذكر,504
غير سعودي,وادى الدواسر,آل قرنين,الرياض,ذكر,47
سعودي,ابها (مقر الإمارة),آل كايد,عسير,أنثى,18
سعودي,ابها (مقر الإمارة),آل كايد,عسير,ذكر,15
سعودي,الدائر,آل كردم,جازان,أنثى,6
سعودي,الدائر,آل كردم,جازان,ذكر,7
سعودي,الحرجة,آل لاحق ( آل مهدي),عسير,أنثى,6
سعودي,الحرجة,آل لاحق ( آل مهدي),عسير,ذكر,8
سعودي,الحرجة,آل لوصه,عسير,أنثى,39
سعودي,الحرجة,آل لوصه,عسير,ذكر,33
غير سعودي,الحرجة,آل لوصه,عسير,ذكر,5
سعودي,الحرجة,آل مجلب,عسير,أنثى,29
سعودي,الحرجة,آل مجلب,عسير,ذكر,35
غير سعودي,الحرجة,آل مجلى,عسير,أنثى,4
سعودي,ابها (مقر الإمارة),آل مخلد,عسير,أنثى,61
غير سعودي,ابها (مقر الإمارة),آل مخلد,عسير,أنثى,4
سعودي,ابها (مقر الإمارة),آل مخلد,عسير,ذكر,40
غير سعودي,ابها (مقر الإمارة),آل مخلد,عسير,ذكر,27
سعودي,الحرجة,آل مزهر,عسير,أنثى,16
سعودي,الحرجة,آل مزهر,عسير,ذكر,16
غير سعودي,الحرجة,آل مزهر,عسير,ذكر,23
سعودي,الحرجة,آل مسعود,عسير,أنثى,14
سعودي,الحرجة,آل مسعود,عسير,ذكر,14
سعودي,الحرجة,آل مسفوه,عسير,أنثى,51
سعودي,الحرجة,آل مسفوه,عسير,ذكر,42
غير سعودي,الحرجة,آل مسفوه,عسير,ذكر,10
سعودي,الحرجة,آل مسلمه,عسير,أنثى,21
سعودي,الحرجة,آل مسلمه,عسير,ذكر,27
سعودي,بالقرن,آل مسلى والشعب,عسير,أنثى,109
غير سعودي,بالقرن,آل مسلى والشعب,عسير,أنثى,10
سعودي,بالقرن,آل مسلى والشعب,عسير,ذكر,105
غير سعودي,بالقرن,آل مسلى والشعب,عسير,ذكر,20
سعودي,الطائف,آل مشعان,مكة المكرمة,أنثى,39
غير سعودي,الطائف,آل مشعان,مكة المكرمة,أنثى,3
سعودي,الطائف,آل مشعان,مكة المكرمة,ذكر,39
غير سعودي,الطائف,آل مشعان,مكة المكرمة,ذكر,12
سعودي,الحرجة,آل مصلح,عسير,أنثى,18
سعودي,الحرجة,آل مصلح,عسير,ذكر,15
غير سعودي,الحرجة,آل مصلح,عسير,ذكر,120
سعودي,الحرجة,آل مصلح (آل عمران),عسير,أنثى,37
سعودي,الحرجة,آل مصلح (آل عمران),عسير,ذكر,44
غير سعودي,الحرجة,آل مصلح (آل عمران),عسير,ذكر,3
سعودي,الحرجة,آل مطير,عسير,أنثى,3
سعودي,الحرجة,آل مطير,عسير,ذكر,4
سعودي,ابها (مقر الإمارة),آل مطير والقابل,عسير,أنثى,62
سعودي,ابها (مقر الإمارة),آل مطير والقابل,عسير,ذكر,56
غير سعودي,ابها (مقر الإمارة),آل مطير والقابل,عسير,ذكر,11
سعودي,هروب,آل مطيش,جازان,أنثى,32
سعودي,هروب,آل مطيش,جازان,ذكر,27
سعودي,الحرجة,آل مغامر,عسير,أنثى,26
سعودي,الحرجة,آل مغامر,عسير,ذكر,14
سعودي,الحرجة,آل مغدي,عسير,أنثى,6
سعودي,الحرجة,آل مفلح (آل عمران),عسير,أنثى,113
غير سعودي,الحرجة,آل مفلح (آل عمران),عسير,أنثى,3
سعودي,الحرجة,آل مفلح (آل عمران),عسير,ذكر,133
غير سعودي,الحرجة,آل مفلح (آل عمران),عسير,ذكر,11
سعودي,ابها (مقر الإمارة),آل مقارم,عسير,أنثى,6
سعودي,ابها (مقر الإمارة),آل مقارم,عسير,ذكر,7
سعودي,فيفا,آل مقبل,جازان,أنثى,160
غير سعودي,فيفا,آل مقبل,جازان,أنثى,6
سعودي,فيفا,آل مقبل,جازان,ذكر,164
غير سعودي,فيفا,آل مقبل,جازان,ذكر,10
سعودي,الحرجة,آل مونس,عسير,أنثى,29
سعودي,الحرجة,آل مونس,عسير,ذكر,26
غير سعودي,الحرجة,آل مونس,عسير,ذكر,11
سعودي,بالقرن,آل نعيمه,عسير,أنثى,76
غير سعودي,بالقرن,آل نعيمه,عسير,أنثى,3
سعودي,بالقرن,آل نعيمه,عسير,ذكر,55
غير سعودي,بالقرن,آل نعيمه,عسير,ذكر,67
سعودي,ميسان,آل هادي,مكة المكرمة,أنثى,13
سعودي,ميسان,آل هادي,مكة المكرمة,ذكر,4
سعودي,الحرجة,آل هويج,عسير,أنثى,96
سعودي,الحرجة,آل هويج,عسير,ذكر,80
غير سعودي,الحرجة,آل هويج,عسير,ذكر,6
سعودي,الحرجة,آل هيف (الوسط),عسير,أنثى,17
سعودي,الحرجة,آل هيف (الوسط),عسير,ذكر,16
غير سعودي,الحرجة,آل هيف (الوسط),عسير,ذكر,5
سعودي,بارق,آل وحيش,عسير,أنثى,15
سعودي,بارق,آل وحيش,عسير,ذكر,11
سعودي,القويعية,آل وهيط,الرياض,أنثى,23
سعودي,القويعية,آل وهيط,الرياض,ذكر,22
غير سعودي,القويعية,آل وهيط,الرياض,ذكر,5
سعودي,الدائر,آل يحيى,جازان,أنثى,13
سعودي,الدائر,آل يحيى,جازان,ذكر,11
سعودي,الحرجة,آل يصباء,عسير,أنثى,12
سعودي,الحرجة,آل يصباء,عسير,ذكر,12
سعودي,بدر,آلاب,المدينة المنورة,ذكر,3
سعودي,الشنان,أبضة,حائل,أنثى,85
غير سعودي,الشنان,أبضة,حائل,أنثى,9
سعودي,الشنان,أبضة,حائل,ذكر,82
غير سعودي,الشنان,أبضة,حائل,ذكر,16
سعودي,الحائط,أبلة,حائل,أنثى,353
غير سعودي,الحائط,أبلة,حائل,أنثى,4
سعودي,الحائط,أبلة,حائل,ذكر,408
غير سعودي,الحائط,أبلة,حائل,ذكر,8
سعودي,الطائف,أبن خيشوم,مكة المكرمة,أنثى,135
غير سعودي,الطائف,أبن خيشوم,مكة المكرمة,أنثى,6
سعودي,الطائف,أبن خيشوم,مكة المكرمة,ذكر,145
غير سعودي,الطائف,أبن خيشوم,مكة المكرمة,ذكر,35
سعودي,الطائف,أبن رشدان,مكة المكرمة,أنثى,70
سعودي,الطائف,أبن رشدان,مكة المكرمة,ذكر,63
غير سعودي,الطائف,أبن رشدان,مكة المكرمة,ذكر,29
سعودي,الطائف,أبن كنيدش,مكة المكرمة,أنثى,244
غير سعودي,الطائف,أبن كنيدش,مكة المكرمة,أنثى,17
سعودي,الطائف,أبن كنيدش,مكة المكرمة,ذكر,220
غير سعودي,الطائف,أبن كنيدش,مكة المكرمة,ذكر,151
سعودي,ابو عريش,أبو الاسرار,جازان,أنثى,37
سعودي,ابو عريش,أبو الاسرار,جازان,ذكر,50
سعودي,صامطة,أبو العدنه   ام القطب السفلى,جازان,أنثى,20
غير سعودي,صامطة,أبو العدنه   ام القطب السفلى,جازان,أنثى,4
سعودي,صامطة,أبو العدنه   ام القطب السفلى,جازان,ذكر,25
غير سعودي,صامطة,أبو العدنه   ام القطب السفلى,جازان,ذكر,8
سعودي,العارضة,أبو العرفط,جازان,أنثى,15
غير سعودي,العارضة,أبو العرفط,جازان,أنثى,3
سعودي,العارضة,أبو العرفط,جازان,ذكر,25
سعودي,العيدابي,أبو القلعة,جازان,أنثى,68
سعودي,العيدابي,أبو القلعة,جازان,ذكر,69
غير سعودي,العيدابي,أبو القلعة,جازان,ذكر,12
سعودي,العارضة,أبو الكزم,جازان,أنثى,145
غير سعودي,العارضة,أبو الكزم,جازان,أنثى,88
سعودي,العارضة,أبو الكزم,جازان,ذكر,162
غير سعودي,العارضة,أبو الكزم,جازان,ذكر,109
سعودي,صامطة,أبو المض,جازان,أنثى,359
غير سعودي,صامطة,أبو المض,جازان,أنثى,823
سعودي,صامطة,أبو المض,جازان,ذكر,395
غير سعودي,صامطة,أبو المض,جازان,ذكر,1027
سعودي,الحائط,أبو حميدة,حائل,أنثى,9
سعودي,الحائط,أبو حميدة,حائل,ذكر,10
سعودي,الحائط,أبو رضام,حائل,أنثى,38
سعودي,السليمي,أبو رضام,حائل,أنثى,59
سعودي,الحائط,أبو رضام,حائل,ذكر,55
سعودي,السليمي,أبو رضام,حائل,ذكر,46
غير سعودي,السليمي,أبو رضام,حائل,ذكر,5
سعودي,الحائط,أبو زرايب,حائل,أنثى,37
غير سعودي,الحائط,أبو زرايب,حائل,أنثى,3
سعودي,الحائط,أبو زرايب,حائل,ذكر,31
سعودي,السليمي,أبو زريبة,حائل,أنثى,7
سعودي,السليمي,أبو زريبة,حائل,ذكر,6
سعودي,النبهانية,أبو سديرة,القصيم,أنثى,150
سعودي,النبهانية,أبو سديرة,القصيم,ذكر,147
غير سعودي,النبهانية,أبو سديرة,القصيم,ذكر,6
سعودي,الحائط,أبو سهيلات,حائل,أنثى,410
غير سعودي,الحائط,أبو سهيلات,حائل,أنثى,5
سعودي,الحائط,أبو سهيلات,حائل,ذكر,397
غير سعودي,الحائط,أبو سهيلات,حائل,ذكر,35
سعودي,الطائف,أبو سيال,مكة المكرمة,أنثى,89
غير سعودي,الطائف,أبو سيال,مكة المكرمة,أنثى,8
سعودي,الطائف,أبو سيال,مكة المكرمة,ذكر,103
غير سعودي,الطائف,أبو سيال,مكة المكرمة,ذكر,23
سعودي,الدوادمي,أبو عرفج,الرياض,أنثى,25
سعودي,الدوادمي,أبو عرفج,الرياض,ذكر,31
غير سعودي,الدوادمي,أبو عرفج,الرياض,ذكر,12
سعودي,العارضة,أبوالعشرة الجنوبية,جازان,أنثى,225
غير سعودي,العارضة,أبوالعشرة الجنوبية,جازان,أنثى,4
سعودي,العارضة,أبوالعشرة الجنوبية,جازان,ذكر,197
غير سعودي,العارضة,أبوالعشرة الجنوبية,جازان,ذكر,6
سعودي,العارضة,أبوالعصمة الشمالية,جازان,أنثى,55
غير سعودي,العارضة,أبوالعصمة الشمالية,جازان,أنثى,10
