,الجنسية,المحافظة,المدينة,المنطقة,النوع,السكان
33,غير سعودي,فيفا,آل اسلم,جازان,ذكر,5
34,سعودي,الحرجة,آل البقعاء,عسير,أنثى,11
35,سعودي,الحرجة,آل البقعاء,عسير,ذكر,16
36,سعودي,الحرجة,آل الحمري,عسير,أنثى,40
37,سعودي,الحرجة,آل الحمري,عسير,ذكر,42
38,غير سعودي,الحرجة,آل الحمري,عسير,ذكر,4
39,سعودي,الحرجة,آل الخرج,عسير,أنثى,49
40,غير سعودي,الحرجة,آل الخرج,عسير,أنثى,3
41,سعودي,الحرجة,آل الخرج,عسير,ذكر,35
42,غير سعودي,الحرجة,آل الخرج,عسير,ذكر,13
43,سعودي,الدائر,آل الزغلى,جازان,أنثى,10
44,سعودي,الدائر,آل الزغلى,جازان,ذكر,8
45,سعودي,الحرجة,آل السعن,عسير,أنثى,12
46,سعودي,الحرجة,آل السعن,عسير,ذكر,12
47,غير سعودي,الحرجة,آل السعن,عسير,ذكر,4
48,سعودي,ابها (مقر الإمارة),آل الشراع الاعلى والاسفل,عسير,أنثى,9
49,سعودي,ابها (مقر الإمارة),آل الشراع الاعلى والاسفل,عسير,ذكر,10
50,سعودي,الحرجة,آل الشقى,عسير,أنثى,3
51,سعودي,الحرجة,آل الشقى,عسير,ذكر,6
52,سعودي,النماص,آل الشيخيين وآل جرار,عسير,أنثى,137
53,غير سعودي,النماص,آل الشيخيين وآل جرار,عسير,أنثى,10
54,سعودي,النماص,آل الشيخيين وآل جرار,عسير,ذكر,117
55,غير سعودي,النماص,آل الشيخيين وآل جرار,عسير,ذكر,76
56,سعودي,سراة عبيدة,آل الصياح,عسير,أنثى,20
57,سعودي,سراة عبيدة,آل الصياح,عسير,ذكر,22
58,سعودي,الحرجة,آل الطويل,عسير,أنثى,35
59,سعودي,الحرجة,آل الطويل,عسير,ذكر,23
60,غير سعودي,الحرجة,آل الطويل,عسير,ذكر,36
61,سعودي,ابها (مقر الإمارة),آل العلاء ولجوه وسر البدله,عسير,أنثى,21
62,سعودي,ابها (مقر الإمارة),آل العلاء ولجوه وسر البدله,عسير,ذكر,25
63,سعودي,ابها (مقر الإمارة),آل القحيم,عسير,أنثى,15
64,سعودي,ابها (مقر الإمارة),آل القحيم,عسير,ذكر,19
65,سعودي,الحرجة,آل الميز,عسير,أنثى,11
66,سعودي,الحرجة,آل الميز,عسير,ذكر,14
67,سعودي,سراة عبيدة,آل الهتلان,عسير,أنثى,5
68,سعودي,سراة عبيدة,آل الهتلان,عسير,ذكر,6
69,سعودي,الحرجة,آل الواقدى (آل عامر),عسير,أنثى,20
70,سعودي,الحرجة,آل الواقدى (آل عامر),عسير,ذكر,20
71,غير سعودي,الحرجة,آل الواقدى (آل عامر),عسير,ذكر,3
72,سعودي,ابها (مقر الإمارة),آل ام سعلي والقلت,عسير,أنثى,56
73,غير سعودي,ابها (مقر الإمارة),آل ام سعلي والقلت,عسير,أنثى,5
74,سعودي,ابها (مقر الإمارة),آل ام سعلي والقلت,عسير,ذكر,61
75,غير سعودي,ابها (مقر الإمارة),آل ام سعلي والقلت,عسير,ذكر,15
76,سعودي,ابها (مقر الإمارة),آل بالعلاء,عسير,ذكر,5
77,سعودي,ابها (مقر الإمارة),آل بجاد,عسير,ذكر,6
78,سعودي,الحرجة,آل بحير,عسير,أنثى,70
79,غير سعودي,الحرجة,آل بحير,عسير,أنثى,6
80,سعودي,الحرجة,آل بحير,عسير,ذكر,68
81,غير سعودي,الحرجة,آل بحير,عسير,ذكر,46
82,سعودي,فيفا,آل برقان,جازان,أنثى,80
83,غير سعودي,فيفا,آل برقان,جازان,أنثى,3
84,سعودي,فيفا,آل برقان,جازان,ذكر,76
85,غير سعودي,فيفا,آل برقان,جازان,ذكر,6
86,سعودي,حوطة بنى تميم,آل بريك,الرياض,أنثى,430
87,غير سعودي,حوطة بنى تميم,آل بريك,الرياض,أنثى,9
88,سعودي,حوطة بنى تميم,آل بريك,الرياض,ذكر,425
89,غير سعودي,حوطة بنى تميم,آل بريك,الرياض,ذكر,41
90,سعودي,الحرجة,آل بو هيشه,عسير,أنثى,61
91,غير سعودي,الحرجة,آل بو هيشه,عسير,أنثى,5
92,سعودي,الحرجة,آل بو هيشه,عسير,ذكر,43
93,غير سعودي,الحرجة,آل بو هيشه,عسير,ذكر,5
94,سعودي,سراة عبيدة,آل بي حبيب,عسير,أنثى,3
95,سعودي,ابها (مقر الإمارة),آل ثروان,عسير,أنثى,3
96,سعودي,ابها (مقر الإمارة),آل ثروان,عسير,ذكر,4
97,غير سعودي,ابها (مقر الإمارة),آل ثروان,عسير,ذكر,6
98,سعودي,الحرجة,آل جازعه,عسير,أنثى,23
99,غير سعودي,الحرجة,آل جازعه,عسير,أنثى,8
100,سعودي,الحرجة,آل جازعه,عسير,ذكر,21
101,سعودي,الحرجة,آل جحلان,عسير,أنثى,21
102,سعودي,الحرجة,آل جحلان,عسير,ذكر,24
103,غير سعودي,الحرجة,آل جحلان,عسير,ذكر,3
104,سعودي,الحرجة,آل جحيش,عسير,أنثى,5
105,سعودي,الحرجة,آل جحيش,عسير,ذكر,12
106,سعودي,الحرجة,آل جراد,عسير,أنثى,12
107,سعودي,الحرجة,آل جراد,عسير,ذكر,12
108,سعودي,الحرجة,آل جعدنه,عسير,أنثى,8
109,سعودي,الحرجة,آل جعدنه,عسير,ذكر,10
110,سعودي,سراة عبيدة,آل جلده,عسير,أنثى,10
111,سعودي,سراة عبيدة,آل جلده,عسير,ذكر,11
112,سعودي,الحرجة,آل جهيم,عسير,أنثى,34
113,سعودي,الحرجة,آل جهيم,عسير,ذكر,38
114,سعودي,الحرجة,آل جوير,عسير,أنثى,19
115,سعودي,الحرجة,آل جوير,عسير,ذكر,22
116,سعودي,فيفا,آل حاوى والشباب,جازان,أنثى,32
117,سعودي,فيفا,آل حاوى والشباب,جازان,ذكر,27
118,سعودي,الحرجة,آل حريز,عسير,أنثى,11
119,سعودي,الحرجة,آل حريز,عسير,ذكر,8
120,سعودي,خميس  مشيط,آل حسان,عسير,أنثى,146
121,غير سعودي,خميس  مشيط,آل حسان,عسير,أنثى,17
122,سعودي,خميس  مشيط,آل حسان,عسير,ذكر,134
123,غير سعودي,خميس  مشيط,آل حسان,عسير,ذكر,46
124,سعودي,بارق,آل حسن,عسير,أنثى,25
125,سعودي,بارق,آل حسن,عسير,ذكر,19
126,غير سعودي,بارق,آل حسن,عسير,ذكر,3
127,سعودي,سراة عبيدة,آل حمران,عسير,أنثى,17
128,سعودي,سراة عبيدة,آل حمران,عسير,ذكر,17
129,غير سعودي,سراة عبيدة,آل حمران,عسير,ذكر,6
130,سعودي,احد رفيدة,آل حمرير,عسير,أنثى,33
131,غير سعودي,احد رفيدة,آل حمرير,عسير,أنثى,3
132,سعودي,احد رفيدة,آل حمرير,عسير,ذكر,33
133,غير سعودي,احد رفيدة,آل حمرير,عسير,ذكر,25
134,سعودي,الحرجة,آل حميد,عسير,ذكر,4
135,سعودي,العرضيات,آل حويل,مكة المكرمة,أنثى,47
136,سعودي,العرضيات,آل حويل,مكة المكرمة,ذكر,30
137,سعودي,طريب,آل خجيم,عسير,أنثى,104
138,غير سعودي,طريب,آل خجيم,عسير,أنثى,3
139,سعودي,طريب,آل خجيم,عسير,ذكر,99
140,سعودي,بيشة,آل خزام,عسير,أنثى,43
141,غير سعودي,بيشة,آل خزام,عسير,أنثى,4
142,سعودي,بيشة,آل خزام,عسير,ذكر,37
143,غير سعودي,بيشة,آل خزام,عسير,ذكر,24
144,سعودي,الحرجة,آل خضيره,عسير,أنثى,73
145,غير سعودي,الحرجة,آل خضيره,عسير,أنثى,4
146,سعودي,الحرجة,آل خضيره,عسير,ذكر,65
147,غير سعودي,الحرجة,آل خضيره,عسير,ذكر,11
148,سعودي,محايل,آل خليف,عسير,أنثى,10
149,سعودي,محايل,آل خليف,عسير,ذكر,10
150,سعودي,الحرجة,آل خميس,عسير,أنثى,44
151,سعودي,الحرجة,آل خميس,عسير,ذكر,36
152,سعودي,الحرجة,آل دابش,عسير,أنثى,3
153,سعودي,الحرجة,آل دابش,عسير,ذكر,7
154,سعودي,الحرجة,آل داوود,عسير,أنثى,4
155,سعودي,الحرجة,آل داوود,عسير,ذكر,3
156,سعودي,الحرجة,آل درهم,عسير,أنثى,9
157,سعودي,الحرجة,آل درهم,عسير,ذكر,4
158,سعودي,الحرجة,آل دشان,عسير,أنثى,48
159,سعودي,الحرجة,آل دشان,عسير,ذكر,59
160,غير سعودي,الحرجة,آل دشان,عسير,ذكر,8
161,سعودي,الحرجة,آل دليم,عسير,أنثى,12
162,سعودي,الحرجة,آل دليم,عسير,ذكر,15
163,سعودي,احد رفيدة,آل راقع,عسير,أنثى,4
164,سعودي,احد رفيدة,آل راقع,عسير,ذكر,13
165,غير سعودي,احد رفيدة,آل راقع,عسير,ذكر,15
166,سعودي,الحرجة,آل ربيعى,عسير,أنثى,52
167,سعودي,الحرجة,آل ربيعى,عسير,ذكر,40
168,غير سعودي,الحرجة,آل ربيعى,عسير,ذكر,7
169,سعودي,سراة عبيدة,آل زليق (المصلح والعتمة),عسير,أنثى,13
170,سعودي,سراة عبيدة,آل زليق (المصلح والعتمة),عسير,ذكر,7
171,غير سعودي,سراة عبيدة,آل زليق (المصلح والعتمة),عسير,ذكر,3
172,سعودي,الحرجة,آل زيدان,عسير,أنثى,17
173,سعودي,الحرجة,آل زيدان,عسير,ذكر,5
174,سعودي,الحرجة,آل سفران,عسير,أنثى,113
175,سعودي,الحرجة,آل سفران,عسير,ذكر,112
176,غير سعودي,الحرجة,آل سفران,عسير,ذكر,22
177,سعودي,فيفا,آل سليمان جابر,جازان,أنثى,24
178,سعودي,فيفا,آل سليمان جابر,جازان,ذكر,20
179,غير سعودي,فيفا,آل سليمان جابر,جازان,ذكر,8
180,سعودي,الحرجة,آل سيف,عسير,أنثى,35
181,غير سعودي,الحرجة,آل سيف,عسير,أنثى,10
182,سعودي,الحرجة,آل سيف,عسير,ذكر,36
183,غير سعودي,الحرجة,آل سيف,عسير,ذكر,3
184,سعودي,الحرجة,آل شارد,عسير,أنثى,17
185,سعودي,الحرجة,آل شارد,عسير,ذكر,17
186,سعودي,الحرجة,آل شامخ,عسير,أنثى,17
187,سعودي,الحرجة,آل شامخ,عسير,ذكر,17
188,غير سعودي,الحرجة,آل شامخ,عسير,ذكر,3
189,سعودي,فيفا,آل شراحيل,جازان,أنثى,33
190,سعودي,فيفا,آل شراحيل,جازان,ذكر,31
191,سعودي,ابها (مقر الإمارة),آل شريح والذروه,عسير,أنثى,18
192,سعودي,ابها (مقر الإمارة),آل شريح والذروه,عسير,ذكر,23
193,سعودي,الحرجة,آل شريه (الوقيره),عسير,أنثى,18
194,سعودي,الحرجة,آل شريه (الوقيره),عسير,ذكر,21
195,غير سعودي,الحرجة,آل شريه (الوقيره),عسير,ذكر,6
196,سعودي,الحرجة,آل شماخ,عسير,أنثى,80
197,سعودي,الحرجة,آل شماخ,عسير,ذكر,77
198,غير سعودي,الحرجة,آل شماخ,عسير,ذكر,10
199,سعودي,المجاردة,آل شواف,عسير,أنثى,13
200,سعودي,المجاردة,آل شواف,عسير,ذكر,8
201,غير سعودي,المجاردة,آل شواف,عسير,ذكر,7
202,سعودي,الحرجة,آل صالح بن راقع,عسير,أنثى,3
203,سعودي,الحرجة,آل صالح بن راقع,عسير,ذكر,4
204,سعودي,تنومة,آل صخيف وآل جبار,عسير,أنثى,21
205,سعودي,تنومة,آل صخيف وآل جبار,عسير,ذكر,17
206,سعودي,الحرجة,آل صلام,عسير,أنثى,14
207,سعودي,الحرجة,آل صلام,عسير,ذكر,14
208,سعودي,الحرجة,آل طلحان,عسير,أنثى,15
209,سعودي,الحرجة,آل طلحان,عسير,ذكر,11
210,سعودي,الحرجة,آل عاصى,عسير,أنثى,3
211,سعودي,الحرجة,آل عاصى,عسير,ذكر,4
212,سعودي,الحرجة,آل عاطف,عسير,أنثى,8
213,سعودي,الحرجة,آل عاطف,عسير,ذكر,10
214,سعودي,الحرجة,آل عايشه (آل سعيده),عسير,أنثى,8
215,سعودي,الحرجة,آل عايشه (آل سعيده),عسير,ذكر,14
216,سعودي,ابها (مقر الإمارة),آل عباس,عسير,أنثى,36
217,سعودي,الحرجة,آل عباس,عسير,أنثى,27
218,سعودي,ابها (مقر الإمارة),آل عباس,عسير,ذكر,24
219,غير سعودي,ابها (مقر الإمارة),آل عباس,عسير,ذكر,15
220,سعودي,الحرجة,آل عباس,عسير,ذكر,30
221,غير سعودي,الحرجة,آل عباس,عسير,ذكر,3
222,سعودي,سراة عبيدة,آل عبيديه,عسير,أنثى,110
223,غير سعودي,سراة عبيدة,آل عبيديه,عسير,أنثى,13
224,سعودي,سراة عبيدة,آل عبيديه,عسير,ذكر,130
225,غير سعودي,سراة عبيدة,آل عبيديه,عسير,ذكر,21
226,سعودي,الحرجة,آل عتيق (العطفه),عسير,أنثى,33
227,سعودي,الحرجة,آل عتيق (العطفه),عسير,ذكر,35
228,غير سعودي,الحرجة,آل عتيق (العطفه),عسير,ذكر,7
229,سعودي,فيفا,آل عجيبه,جازان,أنثى,23
230,سعودي,فيفا,آل عجيبه,جازان,ذكر,19
231,سعودي,سراة عبيدة,آل عزبه (الفردان),عسير,ذكر,3
232,سعودي,الحرجة,آل عطاف,عسير,أنثى,41
233,سعودي,الحرجة,آل عطاف,عسير,ذكر,45
234,سعودي,الحرجة,آل على,عسير,أنثى,12
235,سعودي,الحرجة,آل على,عسير,ذكر,19
236,سعودي,الدائر,آل علي,جازان,أنثى,3
237,سعودي,الدائر,آل علي,جازان,ذكر,3
238,سعودي,الحرجة,آل علي بن علي (آل سوداء),عسير,أنثى,13
239,سعودي,الحرجة,آل علي بن علي (آل سوداء),عسير,ذكر,15
240,سعودي,المجاردة,آل عمار,عسير,أنثى,20
241,سعودي,المجاردة,آل عمار,عسير,ذكر,27
242,غير سعودي,المجاردة,آل عمار,عسير,ذكر,3
243,سعودي,بالقرن,آل عمارن,عسير,أنثى,125
244,غير سعودي,بالقرن,آل عمارن,عسير,أنثى,5
245,سعودي,بالقرن,آل عمارن,عسير,ذكر,121
246,غير سعودي,بالقرن,آل عمارن,عسير,ذكر,18
247,سعودي,المخواة,آل عياش,الباحة,أنثى,70
248,سعودي,المخواة,آل عياش,الباحة,ذكر,65
249,غير سعودي,المخواة,آل عياش,الباحة,ذكر,23
250,سعودي,الحرجة,آل عيفه,عسير,أنثى,35
251,سعودي,الحرجة,آل عيفه,عسير,ذكر,25
252,سعودي,ابها (مقر الإمارة),آل غازي والمقزعه,عسير,ذكر,3
253,سعودي,الحرجة,آل غانم,عسير,أنثى,56
254,سعودي,الحرجة,آل غانم,عسير,ذكر,55
255,غير سعودي,الحرجة,آل غانم,عسير,ذكر,24
256,سعودي,الحرجة,آل غراف,عسير,أنثى,15
257,سعودي,الحرجة,آل غراف,عسير,ذكر,11
258,سعودي,ابها (مقر الإمارة),آل فارح,عسير,أنثى,58
259,سعودي,ابها (مقر الإمارة),آل فارح,عسير,ذكر,53
260,غير سعودي,ابها (مقر الإمارة),آل فارح,عسير,ذكر,12
261,سعودي,الحرجة,آل فاضل (آل زهره),عسير,أنثى,60
262,سعودي,الحرجة,آل فاضل (آل زهره),عسير,ذكر,65
263,غير سعودي,الحرجة,آل فاضل (آل زهره),عسير,ذكر,5
264,سعودي,الحرجة,آل فطيس,عسير,أنثى,42
265,سعودي,الحرجة,آل فطيس,عسير,ذكر,31
266,غير سعودي,الحرجة,آل فطيس,عسير,ذكر,5
267,سعودي,الحرجة,آل قباص (العاند),عسير,أنثى,13
268,غير سعودي,الحرجة,آل قباص (العاند),عسير,أنثى,4
269,سعودي,الحرجة,آل قباص (العاند),عسير,ذكر,15
270,غير سعودي,الحرجة,آل قباص (العاند),عسير,ذكر,60
271,سعودي,تثليث,آل قبره والقوزيه,عسير,أنثى,62
272,غير سعودي,تثليث,آل قبره والقوزيه,عسير,أنثى,3
273,سعودي,تثليث,آل قبره والقوزيه,عسير,ذكر,97
274,غير سعودي,تثليث,آل قبره والقوزيه,عسير,ذكر,30
275,سعودي,سراة عبيدة,آل قراش,عسير,أنثى,24
276,سعودي,سراة عبيدة,آل قراش,عسير,ذكر,18
277,سعودي,وادى الدواسر,آل قرنين,الرياض,أنثى,499
278,غير سعودي,وادى الدواسر,آل قرنين,الرياض,أنثى,4
279,سعودي,وادى الدواسر,آل قرنين,الرياض,ذكر,504
280,غير سعودي,وادى الدواسر,آل قرنين,الرياض,ذكر,47
281,سعودي,ابها (مقر الإمارة),آل كايد,عسير,أنثى,18
282,سعودي,ابها (مقر الإمارة),آل كايد,عسير,ذكر,15
283,سعودي,الدائر,آل كردم,جازان,أنثى,6
284,سعودي,الدائر,آل كردم,جازان,ذكر,7
285,سعودي,الحرجة,آل لاحق ( آل مهدي),عسير,أنثى,6
286,سعودي,الحرجة,آل لاحق ( آل مهدي),عسير,ذكر,8
287,سعودي,الحرجة,آل لوصه,عسير,أنثى,39
288,سعودي,الحرجة,آل لوصه,عسير,ذكر,33
289,غير سعودي,الحرجة,آل لوصه,عسير,ذكر,5
290,سعودي,الحرجة,آل مجلب,عسير,أنثى,29
291,سعودي,الحرجة,آل مجلب,عسير,ذكر,35
292,غير سعودي,الحرجة,آل مجلى,عسير,أنثى,4
293,سعودي,ابها (مقر الإمارة),آل مخلد,عسير,أنثى,61
294,غير سعودي,ابها (مقر الإمارة),آل مخلد,عسير,أنثى,4
295,سعودي,ابها (مقر الإمارة),آل مخلد,عسير,ذكر,40
296,غير سعودي,ابها (مقر الإمارة),آل مخلد,عسير,ذكر,27
297,سعودي,الحرجة,آل مزهر,عسير,أنثى,16
298,سعودي,الحرجة,آل مزهر,عسير,ذكر,16
299,غير سعودي,الحرجة,آل مزهر,عسير,ذكر,23
300,سعودي,الحرجة,آل مسعود,عسير,أنثى,14
301,سعودي,الحرجة,آل مسعود,عسير,ذكر,14
302,سعودي,الحرجة,آل مسفوه,عسير,أنثى,51
303,سعودي,الحرجة,آل مسفوه,عسير,ذكر,42
304,غير سعودي,الحرجة,آل مسفوه,عسير,ذكر,10
305,سعودي,الحرجة,آل مسلمه,عسير,أنثى,21
306,سعودي,الحرجة,آل مسلمه,عسير,ذكر,27
307,سعودي,بالقرن,آل مسلى والشعب,عسير,أنثى,109
308,غير سعودي,بالقرن,آل مسلى والشعب,عسير,أنثى,10
309,سعودي,بالقرن,آل مسلى والشعب,عسير,ذكر,105
310,غير سعودي,بالقرن,آل مسلى والشعب,عسير,ذكر,20
311,سعودي,الطائف,آل مشعان,مكة المكرمة,أنثى,39
312,غير سعودي,الطائف,آل مشعان,مكة المكرمة,أنثى,3
313,سعودي,الطائف,آل مشعان,مكة المكرمة,ذكر,39
314,غير سعودي,الطائف,آل مشعان,مكة المكرمة,ذكر,12
315,سعودي,الحرجة,آل مصلح,عسير,أنثى,18
316,سعودي,الحرجة,آل مصلح,عسير,ذكر,15
317,غير سعودي,الحرجة,آل مصلح,عسير,ذكر,120
318,سعودي,الحرجة,آل مصلح (آل عمران),عسير,أنثى,37
319,سعودي,الحرجة,آل مصلح (آل عمران),عسير,ذكر,44
320,غير سعودي,الحرجة,آل مصلح (آل عمران),عسير,ذكر,3
321,سعودي,الحرجة,آل مطير,عسير,أنثى,3
322,سعودي,الحرجة,آل مطير,عسير,ذكر,4
323,سعودي,ابها (مقر الإمارة),آل مطير والقابل,عسير,أنثى,62
324,سعودي,ابها (مقر الإمارة),آل مطير والقابل,عسير,ذكر,56
325,غير سعودي,ابها (مقر الإمارة),آل مطير والقابل,عسير,ذكر,11
326,سعودي,هروب,آل مطيش,جازان,أنثى,32
327,سعودي,هروب,آل مطيش,جازان,ذكر,27
328,سعودي,الحرجة,آل مغامر,عسير,أنثى,26
329,سعودي,الحرجة,آل مغامر,عسير,ذكر,14
330,سعودي,الحرجة,آل مغدي,عسير,أنثى,6
331,سعودي,الحرجة,آل مفلح (آل عمران),عسير,أنثى,113
332,غير سعودي,الحرجة,آل مفلح (آل عمران),عسير,أنثى,3
333,سعودي,الحرجة,آل مفلح (آل عمران),عسير,ذكر,133
334,غير سعودي,الحرجة,آل مفلح (آل عمران),عسير,ذكر,11
335,سعودي,ابها (مقر الإمارة),آل مقارم,عسير,أنثى,6
336,سعودي,ابها (مقر الإمارة),آل مقارم,عسير,ذكر,7
337,سعودي,فيفا,آل مقبل,جازان,أنثى,160
338,غير سعودي,فيفا,آل مقبل,جازان,أنثى,6
339,سعودي,فيفا,آل مقبل,جازان,ذكر,164
340,غير سعودي,فيفا,آل مقبل,جازان,ذكر,10
341,سعودي,الحرجة,آل مونس,عسير,أنثى,29
342,سعودي,الحرجة,آل مونس,عسير,ذكر,26
343,غير سعودي,الحرجة,آل مونس,عسير,ذكر,11
344,سعودي,بالقرن,آل نعيمه,عسير,أنثى,76
345,غير سعودي,بالقرن,آل نعيمه,عسير,أنثى,3
346,سعودي,بالقرن,آل نعيمه,عسير,ذكر,55
347,غير سعودي,بالقرن,آل نعيمه,عسير,ذكر,67
348,سعودي,ميسان,آل هادي,مكة المكرمة,أنثى,13
349,سعودي,ميسان,آل هادي,مكة المكرمة,ذكر,4
350,سعودي,الحرجة,آل هويج,عسير,أنثى,96
351,سعودي,الحرجة,آل هويج,عسير,ذكر,80
352,غير سعودي,الحرجة,آل هويج,عسير,ذكر,6
353,سعودي,الحرجة,آل هيف (الوسط),عسير,أنثى,17
354,سعودي,الحرجة,آل هيف (الوسط),عسير,ذكر,16
355,غير سعودي,الحرجة,آل هيف (الوسط),عسير,ذكر,5
356,سعودي,بارق,آل وحيش,عسير,أنثى,15
357,سعودي,بارق,آل وحيش,عسير,ذكر,11
358,سعودي,القويعية,آل وهيط,الرياض,أنثى,23
359,سعودي,القويعية,آل وهيط,الرياض,ذكر,22
360,غير سعودي,القويعية,آل وهيط,الرياض,ذكر,5
361,سعودي,الدائر,آل يحيى,جازان,أنثى,13
362,سعودي,الدائر,آل يحيى,جازان,ذكر,11
363,سعودي,الحرجة,آل يصباء,عسير,أنثى,12
364,سعودي,الحرجة,آل يصباء,عسير,ذكر,12
365,سعودي,بدر,آلاب,المدينة المنورة,ذكر,3
366,سعودي,الشنان,أبضة,حائل,أنثى,85
367,غير سعودي,الشنان,أبضة,حائل,أنثى,9
368,سعودي,الشنان,أبضة,حائل,ذكر,82
369,غير سعودي,الشنان,أبضة,حائل,ذكر,16
370,سعودي,الحائط,أبلة,حائل,أنثى,353
371,غير سعودي,الحائط,أبلة,حائل,أنثى,4
372,سعودي,الحائط,أبلة,حائل,ذكر,408
373,غير سعودي,الحائط,أبلة,حائل,ذكر,8
374,سعودي,الطائف,أبن خيشوم,مكة المكرمة,أنثى,135
375,غير سعودي,الطائف,أبن خيشوم,مكة المكرمة,أنثى,6
376,سعودي,الطائف,أبن خيشوم,مكة المكرمة,ذكر,145
377,غير سعودي,الطائف,أبن خيشوم,مكة المكرمة,ذكر,35
378,سعودي,الطائف,أبن رشدان,مكة المكرمة,أنثى,70
379,سعودي,الطائف,أبن رشدان,مكة المكرمة,ذكر,63
380,غير سعودي,الطائف,أبن رشدان,مكة المكرمة,ذكر,29
381,سعودي,الطائف,أبن كنيدش,مكة المكرمة,أنثى,244
382,غير سعودي,الطائف,أبن كنيدش,مكة المكرمة,أنثى,17
383,سعودي,الطائف,أبن كنيدش,مكة المكرمة,ذكر,220
384,غير سعودي,الطائف,أبن كنيدش,مكة المكرمة,ذكر,151
385,سعودي,ابو عريش,أبو الاسرار,جازان,أنثى,37
386,سعودي,ابو عريش,أبو الاسرار,جازان,ذكر,50
387,سعودي,صامطة,أبو العدنه   ام القطب السفلى,جازان,أنثى,20
388,غير سعودي,صامطة,أبو العدنه   ام القطب السفلى,جازان,أنثى,4
389,سعودي,صامطة,أبو العدنه   ام القطب السفلى,جازان,ذكر,25
390,غير سعودي,صامطة,أبو العدنه   ام القطب السفلى,جازان,ذكر,8
391,سعودي,العارضة,أبو العرفط,جازان,أنثى,15
392,غير سعودي,العارضة,أبو العرفط,جازان,أنثى,3
393,سعودي,العارضة,أبو العرفط,جازان,ذكر,25
394,سعودي,العيدابي,أبو القلعة,جازان,أنثى,68
395,سعودي,العيدابي,أبو القلعة,جازان,ذكر,69
396,غير سعودي,العيدابي,أبو القلعة,جازان,ذكر,12
397,سعودي,العارضة,أبو الكزم,جازان,أنثى,145
398,غير سعودي,العارضة,أبو الكزم,جازان,أنثى,88
399,سعودي,العارضة,أبو الكزم,جازان,ذكر,162
400,غير سعودي,العارضة,أبو الكزم,جازان,ذكر,109
401,سعودي,صامطة,أبو المض,جازان,أنثى,359
402,غير سعودي,صامطة,أبو المض,جازان,أنثى,823
403,سعودي,صامطة,أبو المض,جازان,ذكر,395
404,غير سعودي,صامطة,أبو المض,جازان,ذكر,1027
405,سعودي,الحائط,أبو حميدة,حائل,أنثى,9
406,سعودي,الحائط,أبو حميدة,حائل,ذكر,10
407,سعودي,الحائط,أبو رضام,حائل,أنثى,38
408,سعودي,السليمي,أبو رضام,حائل,أنثى,59
409,سعودي,الحائط,أبو رضام,حائل,ذكر,55
410,سعودي,السليمي,أبو رضام,حائل,ذكر,46
411,غير سعودي,السليمي,أبو رضام,حائل,ذكر,5
